Cheval_clean;Poids_groupe;Cheval;Valeur_poids;Courses;Victoires;Podiums;Moyenne_classement;Taux_victoire;Taux_podium
VIVAHENY;544;VIVAHENY;544;1;0;0;10.0;0.0;0.0
VIVAHENY;564;VIVAHENY;564;2;0;0;9.0;0.0;0.0
VIVALAPEPA;570;VIVA LA PEPA;570;2;0;1;1.0;0.0;50.0
VIVALASKIDS;550;VIVA LA SKIDS;550;2;1;1;3.5;50.0;50.0
VIVALASKIDS;620;VIVA LA SKIDS;620;1;0;0;13.0;0.0;0.0
VIVAROK;550;VIVAROK;550;1;0;0;0.0;0.0;0.0
VIVATASTE;520;VIVA TASTE;520;1;0;0;7.0;0.0;0.0
VIVATASTE;534;VIVA TASTE;534;1;0;0;10.0;0.0;0.0
VIVATASTE;544;VIVA TASTE;544;1;0;0;4.0;0.0;0.0
VIVATASTE;560;VIVA TASTE;560;1;0;0;12.0;0.0;0.0
VIVAVIENNE;554;VIVA VIENNE;554;1;0;1;2.0;0.0;100.0
VIVELAREINE;510;VIVE LA REINE;510;1;0;1;3.0;0.0;100.0
VIVELAREINE;574;VIVE LA REINE;574;1;0;1;3.0;0.0;100.0
VIVELAREINE;584;VIVE LA REINE;584;2;0;1;4.0;0.0;50.0
VIVELAREINE;590;VIVE LA REINE;590;1;0;0;6.0;0.0;0.0
VIVELAREINE;594;VIVE LA REINE;594;3;1;1;3.6666666666666665;33.3;33.3
VIVELAREINE;654;VIVE LA REINE;654;1;1;1;1.0;100.0;100.0
VIVELEROI;550;VIVE LE ROI;550;1;0;0;6.0;0.0;0.0
VIVELEROI;560;VIVE LE ROI;560;1;0;0;7.0;0.0;0.0
VIVELEROI;570;VIVE LE ROI;570;2;0;1;4.5;0.0;50.0
VIVELEROI;580;VIVE LE ROI;580;1;0;0;4.0;0.0;0.0
VIVENCIA;570;VIVENCIA;570;1;1;1;1.0;100.0;100.0
VIVENCIAREAL;550;VIVENCIA REAL;550;1;0;0;5.0;0.0;0.0
VIVIANITE;534;VIVIANITE;534;1;0;0;0.0;0.0;0.0
VIVIANUS;560;VIVIANUS;560;1;0;0;5.0;0.0;0.0
VIVID;580;VIVID;580;1;0;0;4.0;0.0;0.0
VIVIENVAN;530;VIVIEN VAN;530;1;0;0;4.0;0.0;0.0
VIVIENVAN;570;VIVIEN VAN;570;1;0;0;6.0;0.0;0.0
VIVIGETYOURGUNS;534;VIVI GET YOUR GUNS;534;1;0;0;6.0;0.0;0.0
VIVIGETYOURGUNS;544;VIVI GET YOUR GUNS;544;1;0;0;8.0;0.0;0.0
VIVIGETYOURGUNS;550;VIVI GET YOUR GUNS;550;1;0;0;8.0;0.0;0.0
VIVIGETYOURGUNS;564;VIVI GET YOUR GUNS;564;1;0;0;9.0;0.0;0.0
VIVIMOSSONANDO;550;VIVIMOS SONANDO;550;1;0;0;7.0;0.0;0.0
VIVIMOSSONANDO;560;VIVIMOS SONANDO;560;1;0;0;4.0;0.0;0.0
VIVIMOSSONANDO;570;VIVIMOS SONANDO;570;2;0;1;3.0;0.0;50.0
VIVIRCONTENTA;560;VIVIR CONTENTA;560;1;0;0;10.0;0.0;0.0
VIVIRCONTENTA;570;VIVIR CONTENTA;570;1;0;0;14.0;0.0;0.0
VIVRELIBRE;570;VIVRE LIBRE;570;1;0;0;6.0;0.0;0.0
VIVRELIBRE;584;VIVRE LIBRE;584;1;1;1;1.0;100.0;100.0
VIVRELIBRE;644;VIVRE LIBRE;644;1;0;0;5.0;0.0;0.0
VIXEN;554;VIXEN;554;1;0;1;2.0;0.0;100.0
VIZHIR;570;VIZHIR;570;2;0;0;10.0;0.0;0.0
VIZINDI;524;VIZINDI;524;1;0;1;2.0;0.0;100.0
VIZINDI;544;VIZINDI;544;1;0;0;6.0;0.0;0.0
VIZINDI;570;VIZINDI;570;1;0;0;10.0;0.0;0.0
VIZINDI;600;VIZINDI;600;1;1;1;1.0;100.0;100.0
